problemsize,gflops,time,kernelname
"1104, 1335, 1, 4608",106837.0,127.137, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_1LDSB1_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS1_SRVW0_SVW2_VW2
"1104, 1408, 1, 4608",111611.0,128.353, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_1LDSB1_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS1_SRVW0_SVW2_VW2
"4608, 1, 1, 320",486.324,6.0641, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_1LDSB0_GRVW8_K1_LPB16_LRVW8_MIWT1_1_NLCA1_PLR5_SS0_SRVW0_SVW4_WG64_4_1
"4608, 16, 1, 320",7659.93,6.1601, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_1LDSB0_GRVW4_K1_LPB16_LRVW8_MIWT1_1_NLCA1_PLR5_SS1_SRVW0_SVW1_WG64_4_1
"4608, 1335, 1, 320",96119.3,40.9603, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_1LDSB1_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS1_SRVW0_SVW2_VW2
"4608, 1408, 1, 320",92885.0,44.7043, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_1LDSB1_GRVW8_K1_LPB16_LRVW8_MIWT2_4_PLR5_SS1_SRVW0_SVW2_VW2
"768, 1335, 1, 4608",88778.8,106.433, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_1LDSB1_GRVW8_K1_LPB16_LRVW8_MIWT2_3_PLR5_SS1_SRVW0_SVW2_VW2_WG32_8_1
"768, 1408, 1, 4608",93605.3,106.465, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_1LDSB1_GRVW8_K1_LPB16_LRVW8_MIWT2_3_PLR5_SS1_SRVW0_SVW2_VW2_WG32_8_1
"4608, 1, 1, 768",695.54,10.1761, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_1LDSB0_GRVW2_K1_LPB16_LRVW8_MIWT1_1_NLCA1_PLR5_SS0_SRVW0_SVW4_WG64_4_1
"4608, 16, 1, 768",10939.4,10.3521, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_1LDSB0_GRVW2_K1_LPB16_LRVW8_MIWT1_1_NLCA1_PLR5_SS1_SRVW0_SVW1_WG64_4_1
