problemsize,gflops,time,kernelname
"1104, 1335, 1, 4608",110008,123.473, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU0_SUS0_SVW4_WSGRA1_WSGRB0_WGM1
"1104, 1408, 1, 4608",115395,124.145, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU0_SUS0_WSGRA0_WSGRB0_WGM1
"4608, 1, 1, 320",587.937,5.01605, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_K1_MIWT1_1_SU0_SUS0_SVW4_WSGRA1_WSGRB0_WGM1
"4608, 16, 1, 320",8829.62,5.34405, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_K1_MIWT1_1_SU0_SUS0_WSGRA1_WSGRB0_WGM1
"4608, 1335, 1, 320",99240.2,39.6722, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU4_SUS128_WSGRA1_WSGRB1_WGM4
"4608, 1408, 1, 320",97693,42.5042, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU0_SUS0_WSGRA1_WSGRB1_WGM1
"768, 1335, 1, 4608",94120.4,100.392, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_K1_MIWT2_3_SU0_SUS0_WSGRA1_WSGRB1_WGM8
"768, 1408, 1, 4608",98560.2,101.112, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_K1_MIWT2_3_SU0_SUS0_SVW4_WSGRA1_WSGRB0_WGM8
"4608, 1, 1, 768",782.952,9.04, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_K1_MIWT1_1_SU0_SUS0_SVW4_WSGRA0_WSGRB1_WGM1
"4608, 16, 1, 768",12406.5,9.128, Cijk_Ailk_Bljk_HHS_BH_MT64x16x64_MI16x16x16x1_SN_K1_MIWT1_1_SU0_SUS0_WSGRA0_WSGRB1_WGM1
"4608, 1335, 1, 768",120880,78.168, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU0_SUS0_WSGRA1_WSGRB0_WGM110
"4608, 1408, 1, 768",113649,87.688, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU4_SUS128_WSGRA0_WSGRB1_WGM8
"320, 8192, 1, 320",80381.4,20.872, Cijk_Ailk_Bljk_HHS_BH_MT64x128x64_MI16x16x16x1_SN_K1_MIWT2_4_SU0_SUS0_WSGRA0_WSGRB0_WGM16
"640, 2048, 1, 640",89278.3,18.792, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_K1_MIWT2_3_SU0_SUS0_WSGRA1_WSGRB1_WGM64
"320, 8192, 1, 1280",92917.6,72.2241, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_K1_MIWT2_3_SU0_SUS0_WSGRA0_WSGRB1_WGM4
"1280, 512, 1, 1280",84973.5,19.7441, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU4_SUS128_WSGRA0_WSGRB0_WGM1
"10240, 512, 1, 1280",127894,104.944, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU4_SUS128_WSGRA1_WSGRB0_WGM16
"2560, 8192, 1, 320",113805,117.936, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU32_SUS128_WSGRA1_WSGRB0_WGM4
"5120, 2048, 1, 640",121109,110.824, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI16x16x16x1_SN_K1_MIWT2_4_SU4_SUS128_WSGRA1_WSGRB0_WGM8
"1280, 512, 1, 5120",105081,63.8641, Cijk_Ailk_Bljk_HHS_BH_MT128x48x64_MI16x16x16x1_SN_K1_MIWT2_3_SU0_SUS0_WSGRA0_WSGRB1_WGM32
"640, 2048, 1, 2560",110029,60.9921, Cijk_Ailk_Bljk_HHS_BH_MT64x96x64_MI16x16x16x1_SN_K1_MIWT2_3_SU0_SUS0_WSGRA0_WSGRB0_WGM4
"320, 154, 1, 768",11237.2,6.736, Cijk_Ailk_Bljk_HHS_BH_MT32x16x64_MI16x16x16x1_SN_K1_MIWT1_1_SU0_SUS0_SVW4_WSGRA0_WSGRB1_WGM110
"1280, 154, 1, 768",34849.9,8.688, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI16x16x16x1_SN_K1_MIWT1_2_SU0_SUS0_SVW4_WSGRA0_WSGRB1_WGM110
