problemsize,gflops,time,kernelname
"1104, 1335, 1, 4608",110907,122.471, Cijk_Ailk_Bljk_HHS_BH_MT256x64x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_2_PLR1_SS0_SRVW0_SVW4_VW2
"1104, 1408, 1, 4608",115040,124.527, Cijk_Ailk_Bljk_HHS_BH_MT256x64x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_2_PLR1_SS0_SRVW0_SVW4_VW2
"4608, 1, 1, 320",502.234,5.872, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS0_SRVW0_SVW4_VW2
"4608, 16, 1, 320",7771.07,6.072, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS0_SRVW0_SVW4_VW2
"4608, 1335, 1, 320",106087,37.1118, Cijk_Ailk_Bljk_HHS_BH_MT128x256x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT2_4_PLR5_SS0_SRVW4_SVW4_VW8
"4608, 1408, 1, 320",114302,36.3279, Cijk_Ailk_Bljk_HHS_BH_MT256x128x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_4_PLR1_SS1_SRVW0_SVW2_VW2
"768, 1335, 1, 4608",117959,80.1038, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_3_PLR9_SS0_SRVW4_SVW4_VW1
"768, 1408, 1, 4608",121973,81.7037, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_3_PLR9_SS0_SRVW0_SVW4_VW1
"4608, 1, 1, 768",695.547,10.176, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS0_SRVW0_SVW4_VW1
"4608, 16, 1, 768",10643.4,10.64, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS0_SRVW0_SVW4_VW4
"4608, 1335, 1, 768",123678,76.3999, Cijk_Ailk_Bljk_HHS_BH_MT256x128x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_4_PLR1_SS1_SRVW0_SVW2_VW2
"4608, 1408, 1, 768",130715,76.2399, Cijk_Ailk_Bljk_HHS_BH_MT256x128x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_4_PLR1_SS1_SRVW0_SVW2_VW2
"320, 8192, 1, 320",70421.6,23.8239, Cijk_Ailk_Bljk_HHS_BH_MT64x128x32_MI32x32x8x1_SN_GRVW2_K1_LPB4_LRVW4_MIWT1_2_PLR5_SS1_SRVW0_SVW1_VW1
"640, 2048, 1, 640",95847.9,17.504, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_3_PLR9_SS0_SRVW4_SVW4_VW4
"320, 8192, 1, 1280",84956.6,78.9919, Cijk_Ailk_Bljk_HHS_BH_MT128x256x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT4_2_PLR1_SS1_SRVW0_SVW4_VW4
"1280, 512, 1, 1280",87490.7,19.176, Cijk_Ailk_Bljk_HHS_BH_MT64x128x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_2_PLR9_SS1_SRVW0_SVW1_VW1
"10240, 512, 1, 1280",143175,93.744, Cijk_Ailk_Bljk_HHS_BH_MT128x128x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_2_PLR5_SS1_SRVW0_SVW2_VW2
"2560, 8192, 1, 320",129764,103.432, Cijk_Ailk_Bljk_HHS_BH_MT256x128x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_4_PLR1_SS0_SRVW4_SVW4_VW2
"5120, 2048, 1, 640",137665,97.496, Cijk_Ailk_Bljk_HHS_BH_MT256x128x32_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW4_MIWT2_4_PLR1_SS1_SRVW0_SVW2_VW2
"1280, 512, 1, 5120",102839,65.256, Cijk_Ailk_Bljk_HHS_BH_MT128x64x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_2_PLR9_SS0_SRVW4_SVW2_VW1
"640, 2048, 1, 2560",133683,50.2, Cijk_Ailk_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_3_PLR9_SS0_SRVW4_SVW4_VW2
"320, 154, 1, 768",8470.69,8.936, Cijk_Ailk_Bljk_HHS_BH_MT32x64x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS0_SRVW0_SVW4_VW1
"1280, 154, 1, 768",32853.3,9.216, Cijk_Ailk_Bljk_HHS_BH_MT64x32x64_MI32x32x8x1_SN_GRVW8_K1_LPB8_LRVW8_MIWT1_1_PLR9_SS0_SRVW4_SVW4_VW1
